shipment_id,order_id,ship_date,delivery_date,delivery_status,shipping_cost,weight
S00069,O04375,18-08-2023,28-08-2023,Delivered,4000.0,2kg
S00070,O01054,2023-04-12,,Delivered,4000.0,1.5 KG
S00071,O04244,2023-09-26,2023/09/30,Returned,,2kg
S00072,O01189,2023/06/16,,Returned,4000.0,-1kg
S00073,O00132,13-05-2023,,Delivered,,-1kg
S00074,O03512,21-09-2023,2023/09/22,Delivered,,2kg
S00075,O01312,2023/08/26,04-09-2023,In Transit,4000.0,-1kg
S00076,O04124,2023-01-15,2023/01/23,Delivered,4000.0,1.5 KG
S00077,O01555,2023-01-23,2023/01/24,Returned,4000.0,2000g
S00078,O03802,2023/09/13,,In Transit,4500.0,2kg
S00079,O04289,2023-12-21,2023-12-24,Returned,,1.5 KG
S00080,O03307,2023/08/24,2023/08/27,Returned,5000.0,-1kg
S00081,O04460,21-10-2023,22-10-2023,Returned,5000.0,1.5 KG
S00082,O03984,2023/10/29,,Delivered,4500.0,1.5 KG
S00083,O04458,2023/12/11,2023-12-17,In Transit,5000.0,-1kg
S00084,O04888,10-03-2023,,Delivered,,3kg
S00085,O03627,2023/01/05,2023-01-06,Returned,4000.0,2000g
S00086,O04577,2023/01/03,09-01-2023,In Transit,,3kg
S00087,O04698,2023/01/23,2023-01-28,Delivered,4500.0,-1kg
S00088,O02607,2023/10/04,2023/10/12,Delivered,,2kg
S00089,O01497,2023/02/21,2023-03-02,In Transit,,-1kg
S00090,O02438,2023/01/29,08-02-2023,Returned,4500.0,1.5 KG
S00091,O05245,2023-01-13,2023/01/22,Delivered,,3kg
S00092,O01417,25-11-2023,2023-11-29,Delivered,,3kg
S00093,O04321,2023-09-12,,In Transit,4500.0,-1kg
S00094,O04427,2023/11/22,,Returned,,1.5 KG
S00095,O00637,26-05-2023,2023/05/28,In Transit,,1.5 KG
S00096,O02212,2023/09/04,09-09-2023,Delivered,4000.0,2kg
S00097,O04069,2023-10-06,,Returned,5000.0,2000g
S00098,O05051,2023-09-02,2023/09/05,In Transit,5000.0,-1kg
S00099,O04266,21-05-2023,2023-05-28,Delivered,4500.0,-1kg
S00100,O03678,2023-05-31,2023-06-07,Returned,,3kg
S00101,O02593,07-08-2023,10-08-2023,Returned,4500.0,1.5 KG
S00102,O02155,21-06-2023,28-06-2023,Delivered,4000.0,3kg
S00103,O04973,2023-01-29,2023/02/01,In Transit,,3kg
S00104,O02222,2023-01-23,24-01-2023,In Transit,5000.0,1.5 KG
S00105,O04233,2023/03/25,29-03-2023,Returned,4000.0,1.5 KG
S00106,O05047,2023/03/11,2023/03/20,Returned,,1.5 KG
S00107,O01270,03-07-2023,2023/07/08,Returned,,1.5 KG
S00108,O04612,2023-07-31,2023-08-02,In Transit,,2000g
S00109,O04073,2023/05/18,19-05-2023,Delivered,,2kg
S00110,O02501,2023-10-24,,In Transit,4000.0,2000g
S00111,O00033,2023/11/28,2023-11-29,Delivered,,-1kg
S00112,O02337,2023/07/19,20-07-2023,Delivered,4500.0,3kg
S00113,O00297,2023-10-18,2023-10-20,Returned,5000.0,-1kg
S00114,O03213,02-07-2023,12-07-2023,In Transit,4500.0,1.5 KG
S00115,O00317,2023/01/28,,In Transit,,1.5 KG
S00116,O04021,2023-06-02,2023/06/05,In Transit,4000.0,1.5 KG
S00117,O02784,2023/12/07,17-12-2023,Returned,4000.0,2kg
S00118,O04088,12-04-2023,,In Transit,4500.0,-1kg
S00119,O04665,24-02-2023,,Delivered,,2kg
S00120,O00966,2023/09/11,,In Transit,5000.0,1.5 KG
S00121,O02929,18-01-2023,2023-01-25,Delivered,,-1kg
S00122,O02107,2023/05/06,16-05-2023,Returned,,2000g
S00123,O01148,2023-08-09,15-08-2023,Delivered,4500.0,-1kg
S00124,O04016,2023-12-11,13-12-2023,Delivered,4000.0,3kg
S00125,O03063,2023-12-25,2023/12/31,Returned,,2000g
S00126,O02942,03-11-2023,12-11-2023,Returned,4000.0,2kg
S00127,O02132,2023-02-05,2023/02/11,Returned,4000.0,1.5 KG
S00128,O00407,2023/02/20,2023-02-25,Delivered,4000.0,1.5 KG
S00129,O04940,11-09-2023,2023/09/16,In Transit,4000.0,1.5 KG
S00130,O01191,2023/10/31,06-11-2023,Returned,,-1kg
S00131,O02313,29-12-2023,,In Transit,4000.0,2000g
S00132,O05212,2023/11/22,27-11-2023,Delivered,4000.0,2000g
S00133,O00841,16-10-2023,2023/10/23,Returned,5000.0,2kg
S00134,O00263,02-11-2023,11-11-2023,Delivered,4000.0,3kg
S00135,O04668,2023/05/07,,In Transit,4000.0,2kg
S00136,O01054,15-09-2023,,Returned,4500.0,3kg
S00137,O03848,26-01-2023,2023/01/29,Returned,5000.0,2kg
S00138,O02804,2023/11/26,2023/12/06,Delivered,4500.0,3kg
S00139,O02138,28-04-2023,04-05-2023,Delivered,4000.0,1.5 KG
S00140,O02349,2023-04-15,2023/04/20,In Transit,5000.0,3kg
S00141,O00164,2023-08-01,2023/08/05,Delivered,4500.0,3kg
S00142,O02395,2023/05/03,2023/05/11,Returned,4500.0,2000g
S00143,O05073,2023/01/11,2023/01/15,Delivered,4000.0,3kg
S00144,O01339,2023-02-07,09-02-2023,In Transit,4000.0,2kg
S00145,O04185,10-02-2023,2023/02/15,Returned,4000.0,-1kg
S00146,O05207,2023-08-22,,In Transit,5000.0,-1kg
S00147,O00205,2023/11/15,16-11-2023,Delivered,,1.5 KG
S00148,O01519,2023/08/16,2023/08/21,Delivered,4000.0,-1kg
S00149,O02741,20-08-2023,,Returned,5000.0,2000g
S00150,O04022,2023/01/21,2023/01/31,Delivered,,3kg
S00151,O04236,2023-09-13,2023/09/19,Returned,4000.0,3kg
S00152,O04824,15-11-2023,2023/11/19,Delivered,4500.0,2000g
S00153,O02270,2023/05/18,,Returned,4000.0,3kg
S00154,O02968,2023-08-20,2023/08/30,Delivered,,1.5 KG
S00155,O04953,10-01-2023,,Delivered,4500.0,3kg
S00156,O04729,10-06-2023,,In Transit,,2kg
S00157,O02958,2023-11-26,2023-11-30,Delivered,,3kg
S00158,O01865,2023/02/06,10-02-2023,In Transit,4500.0,-1kg
S00159,O00520,12-11-2023,14-11-2023,In Transit,5000.0,1.5 KG
S00160,O00922,2023-01-11,12-01-2023,Returned,,2000g
S00161,O05003,2023/10/16,25-10-2023,Delivered,5000.0,2000g
S00162,O00988,22-11-2023,,Delivered,5000.0,-1kg
S00163,O01583,18-02-2023,2023-02-19,In Transit,,3kg
S00164,O01705,2023/03/29,2023/04/06,Returned,4000.0,-1kg
S00165,O02350,2023-12-12,2023-12-19,In Transit,,2000g
S00166,O01592,15-02-2023,,Delivered,4500.0,1.5 KG
S00167,O04415,2023/09/09,,Delivered,,2000g
S00168,O03654,2023-11-05,,In Transit,4500.0,2000g
S00169,O04986,2023/05/18,2023/05/20,Returned,,2000g
S00170,O02585,2023-12-14,2023/12/21,In Transit,4000.0,3kg
S00171,O02276,04-01-2023,07-01-2023,Returned,5000.0,2000g
S00172,O03690,2023/04/28,05-05-2023,Delivered,,2kg
S00173,O02625,2023/12/12,,Delivered,4500.0,2kg
S00174,O00971,2023/01/16,2023/01/18,In Transit,,1.5 KG
S00175,O00155,02-09-2023,04-09-2023,Returned,4500.0,-1kg
S00176,O03519,2023/02/09,16-02-2023,Returned,,2kg
S00177,O00755,20-06-2023,,Delivered,4500.0,2kg
S00178,O00664,2023/01/01,08-01-2023,In Transit,,-1kg
S00179,O02491,25-08-2023,2023/09/01,In Transit,4000.0,1.5 KG
S00180,O04816,2023-11-26,2023-12-01,In Transit,5000.0,-1kg
S00181,O04256,2023-06-16,2023-06-19,Delivered,4500.0,-1kg
S00182,O01522,2023/03/02,2023-03-10,In Transit,5000.0,-1kg
S00183,O02739,2023-04-23,2023-05-01,In Transit,4000.0,2000g
S00184,O01350,2023/10/06,2023/10/14,Delivered,,1.5 KG
S00185,O04741,2023/04/14,,Returned,,2kg
S00186,O02880,29-01-2023,30-01-2023,Delivered,,3kg
S00187,O00447,2023-04-23,01-05-2023,Returned,5000.0,2000g
S00188,O00970,2023/03/03,2023/03/13,In Transit,,3kg
S00189,O03528,2023/12/12,22-12-2023,In Transit,,2kg
S00190,O04650,2023/11/15,16-11-2023,In Transit,,2kg
S00191,O01218,2023-03-18,2023-03-27,Returned,,3kg
S00192,O04235,2023/06/09,2023/06/17,Returned,4000.0,2000g
S00193,O01775,2023/08/22,2023/08/29,In Transit,,1.5 KG
S00194,O03661,2023/05/10,2023-05-13,Delivered,5000.0,3kg
S00195,O03606,03-02-2023,08-02-2023,Returned,4500.0,2kg
S00196,O00947,10-04-2023,14-04-2023,Delivered,5000.0,2kg
S00197,O02683,2023-07-15,24-07-2023,Delivered,4000.0,3kg
S00198,O01495,31-05-2023,2023/06/07,Returned,5000.0,1.5 KG
S00199,O03681,2023-02-10,2023/02/16,In Transit,4000.0,1.5 KG
S00200,O00866,2023/07/11,2023-07-18,In Transit,5000.0,1.5 KG
S00201,O00967,01-12-2023,2023-12-03,Returned,5000.0,1.5 KG
S00202,O03122,25-10-2023,26-10-2023,Returned,5000.0,2000g
S00203,O03540,2023-06-06,11-06-2023,Returned,5000.0,2000g
S00204,O00804,06-11-2023,2023-11-16,In Transit,5000.0,2kg
S00205,O05097,2023/12/18,,Returned,5000.0,2kg
S00206,O05108,2023/09/14,2023-09-21,Returned,,3kg
S00207,O00594,30-05-2023,2023/06/01,In Transit,,2kg
S00208,O00842,2023/09/02,05-09-2023,Delivered,5000.0,-1kg
S00209,O03840,26-01-2023,2023/01/27,Returned,4500.0,3kg
S00210,O01258,24-05-2023,2023/05/25,Returned,,-1kg
S00211,O04828,2023-12-26,03-01-2024,Delivered,5000.0,1.5 KG
S00212,O00481,2023-04-12,,Returned,,2kg
S00213,O03664,27-06-2023,2023-07-07,Delivered,4500.0,3kg
S00214,O02488,21-11-2023,2023/11/28,Delivered,4500.0,3kg
S00215,O02836,17-09-2023,2023-09-20,Returned,5000.0,2kg
S00216,O00082,2023-03-11,2023-03-18,In Transit,4000.0,1.5 KG
S00217,O03629,2023-09-06,2023/09/14,In Transit,4500.0,1.5 KG
S00218,O03462,2023/09/17,,Returned,4500.0,2000g
S00219,O02162,2023/04/12,2023-04-17,Delivered,4000.0,3kg
S00220,O05190,03-01-2023,,Returned,4500.0,-1kg
S00221,O03321,2023/11/05,07-11-2023,Delivered,4000.0,3kg
S00222,O04470,2023-07-05,2023-07-09,In Transit,4500.0,2kg
S00223,O04130,2023-04-21,25-04-2023,In Transit,4000.0,2000g
S00224,O01225,2023-12-15,19-12-2023,Delivered,4500.0,1.5 KG
S00225,O00786,2023/04/15,23-04-2023,In Transit,,1.5 KG
S00226,O04519,04-01-2023,2023-01-08,Delivered,,2000g
S00227,O02668,16-06-2023,2023/06/17,Delivered,4500.0,2kg
S00228,O03898,14-12-2023,2023-12-23,In Transit,4500.0,3kg
S00229,O03610,2023-04-03,11-04-2023,Delivered,4500.0,3kg
S00230,O03793,2023-04-22,01-05-2023,In Transit,4000.0,1.5 KG
S00231,O03424,15-03-2023,17-03-2023,In Transit,5000.0,2kg
S00232,O00691,2023-07-09,,Returned,,2kg
S00233,O01761,03-06-2023,08-06-2023,In Transit,,3kg
S00234,O04172,2023/12/23,27-12-2023,Delivered,4000.0,-1kg
S00235,O04834,2023/10/28,2023-10-29,Returned,4500.0,1.5 KG
S00236,O04144,2023/04/05,2023/04/15,Delivered,4000.0,1.5 KG
S00237,O01826,04-12-2023,11-12-2023,Returned,4500.0,1.5 KG
S00238,O03987,19-07-2023,2023-07-24,Delivered,4500.0,-1kg
S00239,O01267,2023/03/28,,Returned,4000.0,2000g
S00240,O03341,2023/05/12,2023/05/15,Returned,,2kg
S00241,O01717,2023-09-23,,Returned,,2kg
S00242,O03543,2023/10/19,2023/10/23,In Transit,4500.0,2kg
S00243,O00302,2023-07-16,2023/07/25,Returned,4000.0,3kg
S00244,O01154,2023/02/06,2023/02/16,In Transit,5000.0,2000g
S00245,O01519,2023-09-06,2023-09-14,Delivered,,1.5 KG
S00246,O05193,07-01-2023,2023/01/17,Returned,,1.5 KG
S00247,O02588,2023/11/17,,In Transit,4500.0,2kg
S00248,O01148,2023/04/20,2023/04/29,Returned,5000.0,3kg
S00249,O04214,2023/09/23,2023-09-24,Delivered,5000.0,-1kg
S00250,O00814,2023-05-25,2023/05/28,In Transit,5000.0,1.5 KG
S00251,O03391,2023/09/19,,In Transit,4500.0,2000g
S00252,O02228,2023-04-18,2023-04-26,Delivered,4000.0,-1kg
S00253,O04049,2023/09/11,2023-09-15,Delivered,5000.0,3kg
S00254,O00449,2023/06/05,2023-06-10,Delivered,,3kg
S00255,O03999,2023/06/18,2023/06/25,In Transit,4000.0,2kg
S00256,O04549,2023-03-04,2023/03/05,Returned,,2000g
S00257,O03790,2023-03-27,2023-03-31,Delivered,,2000g
S00258,O05071,2023-12-21,2023-12-28,Delivered,4000.0,1.5 KG
S00259,O00875,2023/03/10,,Delivered,,2kg
S00260,O02526,01-04-2023,04-04-2023,Returned,5000.0,2kg
S00261,O04366,2023-06-12,15-06-2023,Delivered,5000.0,2000g
S00262,O00953,2023-07-15,23-07-2023,Delivered,5000.0,2kg
S00263,O04708,2023-06-26,2023-06-27,In Transit,4000.0,2000g
S00264,O00527,2023-04-26,2023-04-29,Returned,5000.0,2kg
S00265,O01763,2023-12-06,2023-12-07,Returned,5000.0,3kg
S00266,O02553,03-01-2023,,In Transit,,2kg
S00267,O01935,26-07-2023,,In Transit,4000.0,-1kg
S00268,O01283,19-01-2023,2023-01-24,Returned,5000.0,-1kg
S00269,O01676,2023-12-20,2023-12-26,Delivered,4500.0,2kg
S00270,O00917,2023-07-25,01-08-2023,Delivered,5000.0,2000g
S00271,O04720,20-05-2023,2023-05-22,Delivered,4500.0,2kg
S00272,O02768,2023-02-21,2023/02/24,In Transit,,1.5 KG
S00273,O00451,28-10-2023,2023-10-31,In Transit,4500.0,2kg
S00274,O05224,14-04-2023,21-04-2023,Delivered,4000.0,3kg
S00275,O00408,2023/04/24,2023/04/28,In Transit,,2000g
S00276,O01643,24-04-2023,2023/05/04,Delivered,5000.0,2kg
S00277,O04527,2023-06-02,,Returned,,-1kg
S00278,O02953,23-01-2023,,In Transit,4000.0,2kg
S00279,O02195,2023-07-20,2023/07/21,In Transit,4500.0,2000g
S00280,O04185,12-12-2023,2023/12/17,In Transit,4000.0,2kg
S00281,O00800,2023/09/15,,Returned,5000.0,1.5 KG
S00282,O01749,28-03-2023,,In Transit,5000.0,3kg
S00283,O04278,08-10-2023,2023/10/09,Delivered,5000.0,-1kg
S00284,O02859,2023-01-17,2023/01/23,Returned,4000.0,-1kg
S00285,O03780,31-08-2023,01-09-2023,Delivered,,1.5 KG
S00286,O01190,2023/12/11,20-12-2023,Delivered,,2000g
S00287,O03481,2023/10/03,12-10-2023,Delivered,5000.0,1.5 KG
S00288,O00028,12-05-2023,2023-05-21,Delivered,4000.0,-1kg
S00289,O02780,27-04-2023,2023-05-04,In Transit,4500.0,1.5 KG
S00290,O03842,28-02-2023,10-03-2023,In Transit,4000.0,2kg
S00291,O02429,2023-07-06,2023/07/12,Delivered,5000.0,1.5 KG
S00292,O05145,2023/11/13,2023/11/20,In Transit,4500.0,-1kg
S00293,O01603,2023-06-11,16-06-2023,Returned,4000.0,3kg
S00294,O02082,2023-04-15,2023/04/17,Delivered,4000.0,2000g
S00295,O02649,30-01-2023,2023/02/01,In Transit,4500.0,-1kg
S00296,O00337,2023-03-19,26-03-2023,In Transit,5000.0,-1kg
S00297,O00485,2023-08-08,,In Transit,4000.0,2000g
S00298,O02646,2023-04-14,16-04-2023,Returned,5000.0,-1kg
S00299,O03450,2023-04-06,2023/04/15,In Transit,4500.0,2kg
S00300,O04028,2023-07-09,10-07-2023,Delivered,,3kg
S00301,O00296,2023/06/29,2023-07-04,Returned,5000.0,-1kg
S00302,O01539,2023/11/11,21-11-2023,Returned,5000.0,2kg
S00303,O04449,2023/03/25,2023/04/01,In Transit,,2kg
S00304,O01119,01-02-2023,08-02-2023,In Transit,,-1kg
S00305,O03080,13-05-2023,2023-05-19,In Transit,5000.0,3kg
S00306,O02142,2023/06/30,,Delivered,4500.0,1.5 KG
S00307,O04698,25-10-2023,2023-10-31,Returned,4000.0,3kg
S00308,O03538,2023/03/03,,In Transit,4500.0,2kg
S00309,O02055,03-05-2023,2023/05/06,In Transit,4000.0,2kg
S00310,O02016,06-04-2023,15-04-2023,Returned,5000.0,3kg
S00311,O01000,2023-10-16,25-10-2023,Delivered,4000.0,3kg
S00312,O00349,23-06-2023,,In Transit,4000.0,2kg
S00313,O04434,2023/04/26,2023/04/30,In Transit,5000.0,2kg
S00314,O03528,2023/11/23,2023-11-30,Returned,5000.0,3kg
S00315,O01007,2023-01-09,2023/01/17,In Transit,5000.0,3kg
S00316,O02899,06-09-2023,2023/09/11,In Transit,5000.0,-1kg
S00317,O04842,2023/03/01,05-03-2023,In Transit,,1.5 KG
S00318,O04524,2023/11/26,2023/11/28,In Transit,4500.0,-1kg
S00319,O04057,06-08-2023,2023/08/16,Delivered,,1.5 KG
S00320,O03350,27-04-2023,,Delivered,4000.0,2000g
S00321,O01870,2023/09/08,2023/09/12,Returned,5000.0,3kg
S00322,O00330,2023/06/17,2023-06-23,In Transit,5000.0,1.5 KG
S00323,O02524,08-04-2023,,In Transit,4000.0,1.5 KG
S00324,O04729,2023-09-17,2023/09/26,Returned,,2kg
S00325,O02901,2023-11-18,,In Transit,5000.0,1.5 KG
S00326,O02195,2023/04/06,2023-04-13,In Transit,4500.0,1.5 KG
S00327,O03788,2023-05-08,2023-05-10,Returned,4500.0,1.5 KG
S00328,O02353,2023/02/08,,In Transit,5000.0,-1kg
S00329,O04600,2023-03-15,2023/03/17,In Transit,,-1kg
S00330,O01397,13-01-2023,2023/01/18,In Transit,4000.0,2000g
S00331,O02556,03-03-2023,09-03-2023,In Transit,,1.5 KG
S00332,O00526,30-11-2023,,Returned,4500.0,3kg
S00333,O01442,2023/07/27,2023/08/04,Delivered,5000.0,3kg
S00334,O04281,2023-11-06,2023-11-15,Delivered,4500.0,3kg
S00335,O02997,31-08-2023,02-09-2023,In Transit,5000.0,3kg
S00336,O04337,2023-01-25,2023/01/30,Returned,5000.0,1.5 KG
S00337,O02304,2023/05/26,2023/05/29,Delivered,,2kg
S00338,O03828,2023-04-16,2023/04/23,In Transit,4000.0,-1kg
S00339,O01651,2023/02/10,2023-02-14,Returned,5000.0,1.5 KG
S00340,O03698,2023/03/10,2023-03-20,Returned,5000.0,2000g
S00341,O02780,2023/01/04,2023/01/05,Returned,4000.0,2000g
S00342,O04650,27-02-2023,06-03-2023,In Transit,4500.0,3kg
S00343,O01514,2023/09/02,,In Transit,5000.0,1.5 KG
S00344,O01915,2023/09/01,04-09-2023,Returned,5000.0,3kg
S00345,O00615,2023/07/06,2023/07/10,Delivered,4500.0,3kg
S00346,O04382,2023-05-08,,Delivered,4000.0,-1kg
S00347,O03986,2023-02-02,2023/02/06,In Transit,5000.0,-1kg
S00348,O04268,2023/08/21,24-08-2023,In Transit,5000.0,-1kg
S00349,O01309,2023/07/31,2023/08/05,Delivered,5000.0,2000g
S00350,O00248,08-05-2023,2023/05/15,Delivered,4000.0,3kg
S00351,O04183,2023/12/09,2023-12-19,Returned,4500.0,3kg
S00352,O01829,2023-01-30,02-02-2023,Returned,5000.0,2000g
S00353,O03487,20-10-2023,2023-10-30,In Transit,4000.0,1.5 KG
S00354,O01428,2023/01/22,27-01-2023,Delivered,5000.0,2000g
S00355,O03537,2023-12-11,2023-12-14,Returned,,-1kg
S00356,O04526,2023/01/16,,In Transit,,-1kg
S00357,O00306,2023-02-13,2023/02/15,Delivered,4500.0,2000g
S00358,O03584,2023-02-23,2023/02/26,Delivered,,1.5 KG
S00359,O02334,08-10-2023,17-10-2023,Delivered,4000.0,-1kg
S00360,O04460,2023/11/28,2023-12-05,In Transit,4000.0,1.5 KG
S00361,O03703,2023/08/24,25-08-2023,Delivered,4500.0,2kg
S00362,O01967,2023-07-28,07-08-2023,In Transit,,2000g
S00363,O00609,24-12-2023,2024/01/02,Delivered,,-1kg
S00364,O01996,12-12-2023,2023-12-18,Returned,4500.0,2000g
S00365,O01813,2023/06/25,03-07-2023,Returned,4500.0,3kg
S00366,O01131,2023/12/19,2023-12-25,In Transit,5000.0,3kg
S00367,O04202,24-12-2023,,In Transit,4000.0,1.5 KG
S00368,O05074,2023-07-13,,In Transit,4500.0,2000g
S00369,O00035,04-04-2023,2023/04/11,Delivered,4000.0,2kg
S00370,O03927,22-09-2023,,Returned,5000.0,-1kg
S00371,O00888,2023/01/02,10-01-2023,Delivered,4000.0,3kg
S00372,O02390,2023/01/02,2023-01-11,In Transit,4000.0,-1kg
S00373,O02092,2023/02/16,2023/02/23,Delivered,,2000g
S00374,O02613,03-03-2023,,Delivered,,2kg
S00375,O04063,2023/09/15,2023-09-19,Delivered,4000.0,3kg
S00376,O02490,17-01-2023,,In Transit,4500.0,1.5 KG
S00377,O02940,22-01-2023,,In Transit,,2000g
S00378,O02989,13-06-2023,2023-06-22,Returned,4000.0,3kg
S00379,O00583,2023/01/06,2023/01/14,Delivered,4500.0,-1kg
S00380,O00485,2023-06-22,2023/06/30,Returned,4500.0,2kg
S00381,O00416,2023/10/20,21-10-2023,In Transit,5000.0,-1kg
S00382,O00547,04-12-2023,06-12-2023,In Transit,5000.0,1.5 KG
S00383,O02402,2023/05/30,06-06-2023,Returned,5000.0,3kg
S00384,O00693,2023/05/31,07-06-2023,In Transit,,2000g
S00385,O02965,15-05-2023,2023/05/16,Delivered,4500.0,1.5 KG
S00386,O03423,2023/01/11,2023/01/15,Delivered,4500.0,3kg
S00387,O04823,2023/08/11,2023-08-18,Returned,5000.0,3kg
S00388,O03819,13-06-2023,2023-06-14,In Transit,5000.0,1.5 KG
S00389,O03432,25-04-2023,04-05-2023,In Transit,5000.0,1.5 KG
S00390,O03197,03-03-2023,2023/03/07,Delivered,4000.0,1.5 KG
S00391,O04975,2023/04/17,2023/04/27,In Transit,4500.0,1.5 KG
S00392,O00574,2023-12-18,,In Transit,4500.0,2000g
S00393,O03600,2023-11-07,08-11-2023,Delivered,4500.0,-1kg
S00394,O03173,2023-10-13,17-10-2023,Returned,4000.0,-1kg
S00395,O02854,17-08-2023,2023/08/21,Delivered,4500.0,2kg
S00396,O00430,26-05-2023,,In Transit,,-1kg
S00397,O03110,2023/09/07,2023/09/17,Returned,4000.0,1.5 KG
S00398,O01086,19-05-2023,2023-05-26,In Transit,5000.0,3kg
S00399,O03454,2023/08/30,2023-09-07,Delivered,5000.0,3kg
S00400,O02504,2023-06-21,2023/06/22,Returned,4500.0,2000g
S00401,O01666,2023-10-14,23-10-2023,Returned,,-1kg
S00402,O04681,2023/05/23,27-05-2023,In Transit,,2000g
S00403,O04472,2023/09/24,2023/10/03,In Transit,5000.0,3kg
S00404,O03923,2023-09-23,03-10-2023,Delivered,4000.0,2000g
S00405,O04784,20-01-2023,2023/01/30,Delivered,4500.0,2000g
